AvgTime,AvgMemory,AvgCaches,HitRate,Score,Moves
0.8575051539789432,79527.03492063492,279.83597883597884,0.5306208853279397,16384,945
1.439156908484333,85209.88347205707,285.82520808561236,0.5170497198352352,14692,841
1.011658482277768,79706.72156013001,276.3120260021669,0.527122297846131,16232,923
0.8960221687346014,84772.9465648855,276.4961832061069,0.5108384458077709,7708,524
0.8328561327628445,76123.55274261604,272.88291139240505,0.5368723176411014,16384,948
0.5739010110143052,80063.4291623578,277.3247156153051,0.5265821144341618,16548,967
0.43598597240448,83433.552,283.52,0.5211688063410832,7412,500
0.5407327662457476,93727.9413919414,282.1208791208791,0.48884502357936693,3408,273
2.043570858816947,88177.43548387097,281.6209677419355,0.5037070159243019,7432,496
1.118642436250191,91647.13656387666,284.8193832599119,0.4970364163316139,6908,454
