AvgTime,Score,Moves,AvgCaches,HitRate
0.17972844635667248,23520,1172,278.2226962457338,0.5345980313075869
0.10126930265245722,12508,738,272.4539295392954,0.5229877284337237
0.13762780119863788,7916,534,273.9569288389513,0.5100338179409406
0.18672933852689297,12384,713,283.1444600280505,0.5155930359363866
0.06872468622107254,16540,950,263.2715789473684,0.5407530085315598
0.08587750846040464,7440,501,288.6646706586826,0.5032098456142549
0.07310093094905218,16524,960,277.95208333333335,0.5303332644332438
0.07616604736873082,7340,490,285.0469387755102,0.5181787153213181
0.08165958032229748,7280,479,286.7181628392484,0.5064701825812138
0.08669167389104396,7292,486,281.940329218107,0.5132447354424027
