AvgTime,Score,Moves,AvgCaches,HitRate
0.07061999944322615,14760,843,282.15421115065243,0.5166076986397173
0.06538467674419798,16268,928,277.45581896551727,0.5313841467441554
0.07108121871948242,7372,500,279.656,0.49841025421674723
0.08139885756604952,5724,399,285.7944862155388,0.49143462952348527
0.06891135404694755,8008,530,277.51509433962264,0.5125664740690146
0.09872200660255817,16396,933,272.4233654876742,0.5339042685706243
0.1524039063232624,13112,755,265.0953642384106,0.5210709515838035
0.17512543454962107,14992,837,280.6200716845878,0.5212247769229232
0.16818157427728514,15436,885,271.02033898305086,0.537916047123413
0.1645299657019546,31248,1529,272.8672334859385,0.543427830855297
